1	NC_003888.3
2	NC_005957.1
3	NC_005957.1
4	NC_003888.3
5	NC_003888.3
6	NC_003888.3
7	NC_005957.1
8	NC_005957.1
9	NC_003888.3
10	NC_003888.3
11	NC_003888.3
12	NC_003888.3
13	NC_005957.1
14	NC_003888.3
15	NC_005957.1
16	NC_003888.3
17	NC_003888.3
18	NC_005957.1
19	NC_005957.1
20	NC_003888.3
21	NC_003888.3
22	NC_005957.1
23	NC_003888.3
24	NC_003888.3
25	NC_005957.1
26	NC_005957.1
27	NC_003888.3
28	NC_003888.3
29	NC_005957.1
30	NC_003888.3
31	NC_005957.1
32	NC_003888.3
33	NC_003888.3
34	NC_003888.3
35	NC_003888.3
36	NC_003888.3
37	NC_005957.1
38	NC_003888.3
39	NC_003888.3
40	NC_003888.3
41	NC_005957.1
42	NC_003888.3
43	NC_005957.1
44	NC_003888.3
45	NC_003888.3
46	NC_003888.3
47	NC_003888.3
48	NC_005957.1
49	NC_005957.1
50	NC_005957.1
51	NC_003888.3
52	NC_005957.1
53	NC_003888.3
54	NC_005957.1
55	NC_005957.1
56	NC_005957.1
57	NC_003888.3
58	NC_003888.3
59	NC_003888.3
60	NC_005957.1
61	NC_003888.3
62	NC_003888.3
63	NC_003888.3
64	NC_003888.3
65	NC_005957.1
66	NC_003888.3
67	NC_003888.3
68	NC_003888.3
69	NC_005957.1
70	NC_003888.3
71	NC_005957.1
72	NC_003888.3
73	NC_003888.3
74	NC_003888.3
75	NC_003888.3
76	NC_005957.1
77	NC_005957.1
78	NC_003888.3
79	NC_003888.3
80	NC_003888.3
81	NC_003888.3
82	NC_005957.1
83	NC_003888.3
84	NC_003888.3
85	NC_003888.3
86	NC_005957.1
87	NC_003888.3
88	NC_003888.3
89	NC_005957.1
90	NC_005957.1
91	NC_003888.3
92	NC_003888.3
93	NC_005957.1
94	NC_003888.3
95	NC_003888.3
96	NC_003888.3
97	NC_005957.1
98	NC_003888.3
99	NC_003888.3
100	NC_005957.1
101	NC_003888.3
102	NC_005957.1
103	NC_005957.1
104	NC_003888.3
105	NC_003888.3
106	NC_003888.3
107	NC_005957.1
108	NC_005957.1
109	NC_005957.1
110	NC_003888.3
111	NC_003888.3
112	NC_005957.1
113	NC_005957.1
114	NC_003888.3
115	NC_003888.3
116	NC_003888.3
117	NC_003888.3
118	NC_003888.3
119	NC_005957.1
120	NC_003888.3
121	NC_005957.1
122	NC_003888.3
123	NC_003888.3
124	NC_003888.3
125	NC_003888.3
126	NC_003888.3
127	NC_005957.1
128	NC_005957.1
129	NC_005957.1
130	NC_003888.3
131	NC_003888.3
132	NC_003888.3
133	NC_005957.1
134	NC_005957.1
135	NC_005957.1
136	NC_005957.1
137	NC_003888.3
138	NC_003888.3
139	NC_003888.3
140	NC_005957.1
141	NC_005957.1
142	NC_005957.1
143	NC_003888.3
144	NC_005957.1
145	NC_005957.1
146	NC_005957.1
147	NC_003888.3
148	NC_005957.1
149	NC_003888.3
150	NC_003888.3
151	NC_003888.3
152	NC_003888.3
153	NC_005957.1
154	NC_005957.1
155	NC_005957.1
156	NC_003888.3
157	NC_005957.1
158	NC_003888.3
159	NC_005957.1
160	NC_005957.1
161	NC_005957.1
162	NC_003888.3
163	NC_005957.1
